example_id                                         | status | run_time        |
-------------------------------------------------- | ------ | --------------- |
./spec/models/encryptable_api_key_spec.rb[1:1:1:1] | passed | 0.0014 seconds  |
./spec/models/encryptable_api_key_spec.rb[1:1:2:1] | passed | 0.00107 seconds |
./spec/models/encryptable_api_key_spec.rb[1:1:3:1] | passed | 0.00134 seconds |
./spec/models/encryptable_api_key_spec.rb[1:1:4:1] | passed | 0.00097 seconds |
./spec/models/encryptable_api_key_spec.rb[1:2:1:1] | passed | 0.00111 seconds |
./spec/models/encryptable_api_key_spec.rb[1:2:2:1] | passed | 0.00156 seconds |
./spec/models/encryptable_api_key_spec.rb[1:3:1:1] | passed | 0.0012 seconds  |
./spec/models/encryptable_api_key_spec.rb[1:3:2:1] | passed | 0.00133 seconds |
./spec/models/encryptable_api_key_spec.rb[1:4:1:1] | passed | 0.00125 seconds |
./spec/models/encryptable_api_key_spec.rb[1:4:1:2] | passed | 0.00116 seconds |
./spec/models/encryptable_api_key_spec.rb[1:4:1:3] | passed | 0.00097 seconds |
./spec/models/encryptable_api_key_spec.rb[1:5:1]   | passed | 0.00098 seconds |
./spec/models/encryptable_api_key_spec.rb[1:5:2]   | passed | 0.00098 seconds |
./spec/models/llm_api_key_spec.rb[1:1:1:1]         | passed | 0.00331 seconds |
./spec/models/llm_api_key_spec.rb[1:1:2:1]         | passed | 0.00199 seconds |
./spec/models/llm_api_key_spec.rb[1:2:1:1]         | passed | 0.01677 seconds |
./spec/models/llm_api_key_spec.rb[1:2:2:1]         | passed | 0.00585 seconds |
./spec/models/llm_api_key_spec.rb[1:3:1]           | passed | 0.01069 seconds |
./spec/models/llm_api_key_spec.rb[1:4:1]           | passed | 0.00457 seconds |
./spec/models/llm_api_key_spec.rb[1:4:2]           | passed | 0.00546 seconds |
./spec/models/llm_api_key_spec.rb[1:4:3]           | passed | 0.00437 seconds |
./spec/models/llm_api_key_spec.rb[1:4:4]           | passed | 0.00536 seconds |
./spec/models/llm_api_key_spec.rb[1:4:5:1]         | passed | 0.00405 seconds |
./spec/models/llm_model_spec.rb[1:1:1:1]           | passed | 0.00804 seconds |
./spec/models/llm_model_spec.rb[1:1:2:1]           | passed | 0.00202 seconds |
./spec/models/llm_model_spec.rb[1:1:3:1]           | passed | 0.00089 seconds |
./spec/models/llm_model_spec.rb[1:2:1]             | passed | 0.00211 seconds |
./spec/models/llm_spec.rb[1:1:1:1]                 | passed | 0.0011 seconds  |
./spec/models/llm_spec.rb[1:1:2:1]                 | passed | 0.00145 seconds |
./spec/models/llm_spec.rb[1:1:3:1]                 | passed | 0.0024 seconds  |
./spec/models/user_spec.rb[1:1:1:1]                | passed | 0.00163 seconds |
./spec/models/user_spec.rb[1:1:2:1]                | passed | 0.00158 seconds |
./spec/models/user_spec.rb[1:1:3:1]                | passed | 0.00198 seconds |
./spec/models/user_spec.rb[1:1:4:1]                | passed | 0.00533 seconds |
./spec/models/user_spec.rb[1:1:5:1]                | passed | 0.00289 seconds |
./spec/models/user_spec.rb[1:2:1]                  | passed | 0.00852 seconds |
./spec/models/user_spec.rb[1:2:2]                  | passed | 0.01063 seconds |
./spec/services/api_key_decrypter_spec.rb[1:1]     | passed | 0.00161 seconds |
./spec/services/api_key_encrypter_spec.rb[1:1]     | passed | 0.12768 seconds |
